xplane,yplane,xrocket,yrocket,vc,xnc,xnt,rtm,time,XNC (G)
39313.25,12000,947.4504,409.7117,3943.244763,3472.346905,0,40128.3294,0.3344957,107.8368604
39279.09,12000,994.5453,430.175,3943.206017,3473.512185,0,40045.58982,0.3509962,107.8730492
39246.19,12000,1039.913,449.8555,3943.171911,3474.537594,0,39963.09522,0.3680359,107.9048942
39212.88,12000,1085.829,469.7939,3943.134147,3475.672597,0,39882.09523,0.3844813,107.9401428
39178.97,12000,1132.575,490.1198,3943.095372,3476.837572,0,39799.91469,0.4015621,107.9763221
39145.61,12000,1178.568,510.1081,3943.059206,3477.923813,0,39717.35128,0.4179618,108.0100563
39111.56,12000,1225.492,530.5311,3943.019961,3479.102096,0,39634.9553,0.4351009,108.0466489
39078.78,12000,1270.688,550.1698,3942.985489,3480.136704,0,39552.74844,0.4514828,108.0787796
39042.67,12000,1320.428,571.9058,3942.939089,3481.528834,0,39469.24265,0.4695899,108.1220135
39012.17,12000,1362.48,590.1249,3942.915016,3482.250847,0,39386.15137,0.4845537,108.1444362
38978.09,12000,1409.438,610.5941,3942.86964,3483.611358,0,39308.00962,0.5017903,108.1866881
38945.01,12000,1455.028,630.4426,3942.834017,3484.679042,0,39225.47509,0.5182128,108.219846
38910.69,12000,1502.32,651.0811,3942.792764,3485.915013,0,39143.23925,0.5354522,108.2582302
38877.21,12000,1548.45,671.1926,3942.756303,3487.007068,0,39059.9539,0.5518402,108.292145
38843.59,12000,1594.764,691.3964,3942.717652,3488.164271,0,38977.80596,0.5690577,108.328083
38809.79,12000,1641.335,711.7264,3942.678617,3489.332584,0,38895.27184,0.5862728,108.364366
38777.68,12000,1685.58,730.9958,3942.644748,3490.34592,0,38814.08106,0.6022461,108.395836
38744.39,12000,1731.436,751.0118,3942.603968,3491.565621,0,38734.29508,0.618824,108.4337149
38710.2,12000,1778.521,771.602,3942.562842,3492.795215,0,38651.88969,0.6358254,108.4719011
38675.87,12000,1825.792,792.2855,3942.523034,3493.98496,0,38568.00996,0.6527719,108.5088497
38642.39,12000,1871.906,812.4439,3942.485854,3495.095786,0,38484.73536,0.6699903,108.5433474
38610.51,12000,1915.827,831.6019,3942.451507,3496.121596,0,38404.24945,0.6858744,108.5752048
38576.36,12000,1962.853,852.1961,3942.407171,3497.445311,0,38323.98142,0.7024771,108.616314
38542.99,12000,2008.798,872.2997,3942.369663,3498.564727,0,38241.07886,0.7195224,108.6510785
38509.79,12000,2054.519,892.3076,3942.3309,3499.721215,0,38159.50775,0.7362141,108.6869942
38474.94,12000,2102.495,913.3663,3942.286821,3501.035776,0,38076.60095,0.7533984,108.7278191
38441.39,12000,2148.68,933.6041,3942.249926,3502.135701,0,37992.48225,0.7701158,108.7619783
38409.06,12000,2193.196,953.0801,3942.213805,3503.2122,0,37911.48212,0.7865565,108.7954099
38370.18,12000,2246.662,976.7272,3942.155558,3504.947353,0,37826.03424,0.8056699,108.8492967
38342.04,12000,2285.447,993.5958,3942.14311,3505.318055,0,37741.07359,0.8197771,108.8608092
38306.43,12000,2334.438,1015.168,3942.085808,3507.023961,0,37664.99837,0.8378437,108.9137876
38274.77,12000,2378.036,1034.252,3942.055632,3507.92197,0,37581.55935,0.8535809,108.9416761
38240.63,12000,2425.011,1054.903,3942.009616,3509.290874,0,37501.64084,0.870531,108.9841886
38207.03,12000,2471.249,1075.221,3941.970283,3510.460506,0,37418.54896,0.8874378,109.0205126
38174.34,12000,2516.238,1094.97,3941.932456,3511.58496,0,37337.13308,0.9038963,109.0554336
38141.34,12000,2561.652,1114.922,3941.891639,3512.797897,0,37256.77717,0.9204448,109.0931024
